symbol,share,change,transactionDate,transactionCode,transactionPrice,name,filingDate,id
AMC,29537,29537,2022-08-19,A,0.0,COX CHRIS A,2022-08-23,0001411579-22-000069
AMC,11332,11332,2022-08-19,A,0.0,COX CHRIS A,2022-08-23,0001411579-22-000069
AMC,1250,1250,2022-08-19,J,0.0,COX CHRIS A,2022-08-23,0001411579-22-000069
AMC,18475,18475,2022-08-19,A,0.0,FRANK ELIZABETH F,2022-08-23,0001411579-22-000068
AMC,69621,69621,2022-08-19,A,0.0,FRANK ELIZABETH F,2022-08-23,0001411579-22-000068
AMC,25496,25496,2022-08-19,A,0.0,FRANK ELIZABETH F,2022-08-23,0001411579-22-000068
AMC,4168,4168,2022-08-19,J,0.0,FRANK ELIZABETH F,2022-08-23,0001411579-22-000068
AMC,14297,14297,2022-08-19,A,0.0,ELLIS DANIEL E,2022-08-23,0001411579-22-000067
AMC,54853,54853,2022-08-19,A,0.0,ELLIS DANIEL E,2022-08-23,0001411579-22-000067
AMC,25496,25496,2022-08-19,A,0.0,ELLIS DANIEL E,2022-08-23,0001411579-22-000067
AMC,3953,3953,2022-08-19,J,0.0,ELLIS DANIEL E,2022-08-23,0001411579-22-000067
AMC,33334,33334,2022-08-19,A,0.0,Goodman Sean D.,2022-08-22,0001411579-22-000066
AMC,30232,30232,2022-08-19,A,0.0,Goodman Sean D.,2022-08-22,0001411579-22-000066
AMC,135022,135022,2022-08-19,A,0.0,Goodman Sean D.,2022-08-22,0001411579-22-000066
AMC,56658,56658,2022-08-19,A,0.0,Goodman Sean D.,2022-08-22,0001411579-22-000066
AMC,4420,4420,2022-08-19,J,0.0,Goodman Sean D.,2022-08-22,0001411579-22-000066
AMC,148002,148002,2022-08-19,A,0.0,ARON ADAM M,2022-08-22,0001411579-22-000065
AMC,632913,632913,2022-08-19,A,0.0,ARON ADAM M,2022-08-22,0001411579-22-000065
AMC,269122,269122,2022-08-19,A,0.0,ARON ADAM M,2022-08-22,0001411579-22-000065
AMC,793974,793974,2022-08-19,J,0.0,ARON ADAM M,2022-08-22,0001411579-22-000065
AMC,23672,23672,2022-08-19,J,0.0,LADER PHILIP,2022-08-22,0001411579-22-000064
AMC,23672,23672,2022-08-19,J,0.0,SUSSMAN ADAM JAY,2022-08-22,0001411579-22-000063
AMC,23672,23672,2022-08-19,J,0.0,PAWLUS KATHLEEN M,2022-08-22,0001411579-22-000061
AMC,23672,23672,2022-08-19,J,0.0,SAICH ANTHONY J,2022-08-22,0001411579-22-000059
AMC,1250,-12000,2022-08-08,S,25.0,COX CHRIS A,2022-08-10,0001411579-22-000058
AMC,1463,-25000,2022-03-31,S,23.905,MCDONALD JOHN D,2022-03-31,0001411579-22-000050
AMC,13250,-1750,2022-03-31,G,0.0,COX CHRIS A,2022-03-31,0001411579-22-000048
AMC,26463,-25000,2022-03-29,G,0.0,MCDONALD JOHN D,2022-03-31,0001411579-22-000050
AMC,4168,-20000,2022-03-29,S,29.912,FRANK ELIZABETH F,2022-03-31,0001411579-22-000049
AMC,15000,-14931,2022-03-29,S,28.799,COX CHRIS A,2022-03-31,0001411579-22-000048
AMC,51463,-50000,2022-03-23,S,20.002,MCDONALD JOHN D,2022-03-25,0001411579-22-000047
AMC,5950,-17722,2022-03-17,S,14.95,Wittlinger Lee,2022-03-18,0000899243-22-011597
AMC,3953,-50000,2022-03-09,S,15.58,ELLIS DANIEL E,2022-03-11,0001411579-22-000046
AMC,0,-69005,2022-03-09,S,15.59,COLANERO STEPHEN A,2022-03-11,0001411579-22-000045
AMC,4051,-50000,2022-03-08,S,15.049,CONNOR KEVIN M,2022-03-10,0001411579-22-000044
