symbol,year,month,change,mspr
BAC,2018,12,0,0.0
BAC,2018,11,-638,-1.8134273
BAC,2018,10,0,0.0
BAC,2018,9,0,0.0
BAC,2018,8,9144,0.2161788
BAC,2018,7,0,0.0
BAC,2018,6,-30000,-46.47992
BAC,2018,5,0,0.0
BAC,2018,4,19906,36.55831
BAC,2018,3,0,0.0
BAC,2018,2,188100,33.900932
BAC,2018,1,0,0.0
BAC,2017,9,0,0.0
BAC,2017,8,-86763,-68.59766
BAC,2017,7,0,0.0
BAC,2017,3,21894,1.589999
BAC,2017,2,265846,25.850246
BAC,2017,1,0,0.0
BAC,2016,12,-40000,-41.008816
BAC,2016,11,25000,30.288345
BAC,2016,10,0,0.0
BAC,2016,9,100000000,100.0
BAC,2016,8,798403194,100.0
BAC,2016,3,327644,18.158138
BAC,2016,2,238733,41.79741
BAC,2016,1,0,0.0
BAC,2015,6,8324,18.99676
BAC,2015,5,56078,59.144028
BAC,2015,4,-1734,-4.6577845
BAC,2015,3,611753,33.060528
BAC,2015,2,586678,18.210222
BAC,2015,1,0,0.0
BAC,2014,12,0,0.0
BAC,2014,11,0,0.0
BAC,2014,10,4948,11.6401615
BAC,2014,6,0,0.0
BAC,2014,5,75287,65.2553
BAC,2014,4,0,0.0
BAC,2014,3,290201,28.1878
BAC,2014,2,286922,24.206085
BAC,2014,1,0,0.0
BAC,2013,12,0,0.0
BAC,2013,11,0,0.0
BAC,2013,10,0,0.0
BAC,2013,6,-580734,-92.61426
BAC,2013,5,55506,47.979877
BAC,2013,4,20000,30.160454
BAC,2013,3,0,0.0
BAC,2013,2,117264,21.936464
BAC,2013,1,20000,34.453056
BAC,2012,12,0,0.0
BAC,2012,11,10000,7.3119726
BAC,2012,10,0,0.0
BAC,2012,9,56612,28.255705
BAC,2012,8,70926,21.11823
BAC,2012,7,0,0.0
BAC,2012,6,0,0.0
BAC,2011,6,0,0.0
BAC,2011,5,0,0.0
BAC,2011,4,0,0.0
BAC,2011,3,0,0.0
BAC,2011,2,182934,34.042973
BAC,2011,1,385114,31.017258
BAC,2010,12,258,0.25568858
BAC,2010,11,30000,47.484882
BAC,2010,10,0,0.0
BAC,2010,9,0,0.0
BAC,2010,7,6000,100.0
BAC,2010,3,-10000,-100.0
BAC,2010,2,753753,52.334908
BAC,2010,1,423041,33.10991
CMCSA,2022,10,-3940,-15.21588
CMCSA,2022,9,4314,100.0
CMCSA,2022,8,-1351,-16.445526
CMCSA,2022,6,2663,25.841824
CMCSA,2022,5,16071,47.366558
CMCSA,2022,4,24066,40.001995
CMCSA,2022,3,201191,21.507748
CMCSA,2022,2,17286,39.603188
CMCSA,2022,1,15400,55.3479
CMCSA,2021,12,507192,23.744656
CMCSA,2021,11,33579,97.13616
CMCSA,2021,10,6127,38.712326
CMCSA,2021,9,2790,100.0
CMCSA,2021,8,-12184,-82.55861
CMCSA,2021,7,1298,33.979057
CMCSA,2021,6,2740,100.0
CMCSA,2021,3,82564,20.147684
CMCSA,2021,2,718185,20.613836
CMCSA,2021,1,3886,49.05327
CMCSA,2020,12,7269,15.562978
CMCSA,2020,11,35387,98.294495
CMCSA,2020,9,3374,100.0
CMCSA,2020,8,0,0.0
CMCSA,2020,6,2457,15.124654
CMCSA,2020,5,13532,13.601093
CMCSA,2020,4,32275,33.285206
CMCSA,2020,3,2365,97.12526
CMCSA,2019,12,-1162,-0.034325726
CMCSA,2019,11,-92847,-78.712585
